SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Path,NewPath,Aligned,Filtered,Coverage,Diff,NewGroup
Y200116WKR_RA,Walker,BYDY,ByDayCreek,WALK_ByDay,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y200116WKR_RA.sort.flt.bam,bams/Y200116WKR_RA.sort.flt.bam,NA,1506688,0.101845,97084,Walker
Y200120WKR_RA,Walker,BYDY,ByDayCreek,WALK_ByDay,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y200120WKR_RA.sort.flt.bam,bams/Y200120WKR_RA.sort.flt.bam,NA,1501537,0.100703,102235,Walker
Y200065WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200065WKR_RA.sort.flt.bam,bams/Y200065WKR_RA.sort.flt.bam,NA,1670958,0.111931,67186,Walker
Y200066WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200066WKR_RA.sort.flt.bam,bams/Y200066WKR_RA.sort.flt.bam,NA,1643061,0.110435,39289,Walker
Y200067WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200067WKR_RA.sort.flt.bam,bams/Y200067WKR_RA.sort.flt.bam,NA,1630253,0.109503,26481,Walker
Y200077WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200077WKR_RA.sort.flt.bam,bams/Y200077WKR_RA.sort.flt.bam,NA,1520802,0.10221,82970,Walker
Y210003WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Murphy Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y210003WKR_RA.sort.flt.bam,bams/Y210003WKR_RA.sort.flt.bam,NA,1501276,0.101591,102496,Walker
Y210005WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Murphy Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y210005WKR_RA.sort.flt.bam,bams/Y210005WKR_RA.sort.flt.bam,NA,1642123,0.11122,38351,Walker
Y210019WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Murphy Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y210019WKR_RA.sort.flt.bam,bams/Y210019WKR_RA.sort.flt.bam,NA,1605791,0.108698,2019,Walker
Y210026WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Silver Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y210026WKR_RA.sort.flt.bam,bams/Y210026WKR_RA.sort.flt.bam,NA,1707842,0.115448,104070,Walker
Y210027WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Silver Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y210027WKR_RA.sort.flt.bam,bams/Y210027WKR_RA.sort.flt.bam,NA,1505408,0.101886,98364,Walker
Y200125WKR_RA,Walker,SLV,SilverCreek,WALK_Silver,Lahontan Cutthroat Trout,LCT,WALKER,Silver Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalkOnr17/Y200125WKR_RA.sort.flt.bam,bams/Y200125WKR_RA.sort.flt.bam,NA,1578397,0.106584,25375,Walker
Y200006WKR_RA,Walker,SKD,SKD,WALK_Slink,Lahontan Cutthroat Trout,LCT,WALKER,Slinkard Creek,2020,fin clips,/home/amilzz/amilzz/data/alignWalker8_18/Y200006WKR_RA.sort.flt.bam,bams/Y200006WKR_RA.sort.flt.bam,NA,1593574,0.106661,10198,Walker
