SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material
Y170001CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170002CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170003CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170004CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170005CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170006CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170007CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170008CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170009CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170010CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170011CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170012CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170013CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170014CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170015CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170016CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170017CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170018CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170019CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170020CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170021CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170022CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170023CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170024CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170025CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170026CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170027CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170028CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170029CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170030CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170031CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170032CAR_RA,CARSON,CAR,EF,CAR_EFork,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170033CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170034CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170035CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170036CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170037CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170038CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170039CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170040CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170041CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170042CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170043CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170044CAR_RA,CARSON,CAR,East Fork Golden Canyon Creek,CAR_EFGoldenCany,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170045CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
Y170046CAR_RA,CARSON,CAR,East Fork Murray Canyon Creek,CAR_EFMurray,Lahontan Cutthroat Trout,LCT,CARSON,East Fork,2017,Extracted DNA
