SampleID,Group,watershedCode,Location,Metacode,Species,Species_code,SiteID,Creek,Sampling_Year,Starting_Material,Filtered Reads,Coverage
Y200116WKR_RA,Walker,BYDY,ByDayCreek,WALK_ByDay,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,1506688,0.101845
Y200120WKR_RA,Walker,BYDY,ByDayCreek,WALK_ByDay,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,1501537,0.100703
Y200065WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,1670958,0.111931
Y200066WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,1643061,0.110435
Y200067WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,1630253,0.109503
Y200077WKR_RA,Walker,MILL,MILL,WALK_Mill,Lahontan Cutthroat Trout,LCT,WALKER,Mill Creek,2020,fin clips,1520802,0.10221
Y210003WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Murphy Creek,2020,fin clips,1501276,0.101591
Y210005WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Murphy Creek,2020,fin clips,1642123,0.11122
Y210019WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Murphy Creek,2020,fin clips,1605791,0.108698
Y210026WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Silver Creek,2020,fin clips,1707842,0.115448
Y210027WKR_RA,Walker,MCT,MurphyCreek,WALK_Murphy,Lahontan Cutthroat Trout,LCT,WALKER,Silver Creek,2020,fin clips,1505408,0.101886
Y200125WKR_RA,Walker,SLV,SilverCreek,WALK_Silver,Lahontan Cutthroat Trout,LCT,WALKER,Silver Creek,2020,fin clips,1578397,0.106584
Y200006WKR_RA,Walker,SKD,SKD,WALK_Slink,Lahontan Cutthroat Trout,LCT,WALKER,Slinkard Creek,2020,fin clips,1593574,0.106661
Y200012WKR_RA,Walker,SKD,SKD,WALK_Slink,Lahontan Cutthroat Trout,LCT,WALKER,Slinkard Creek,2020,fin clips,1577685,0.104775
Y200015WKR_RA,Walker,SKD,SKD,WALK_Slink,Lahontan Cutthroat Trout,LCT,WALKER,Slinkard Creek,2020,fin clips,1717244,0.11525
Y200028WKR_RA,Walker,SKD,SKD,WALK_Slink,Lahontan Cutthroat Trout,LCT,WALKER,Wolf Creek,2020,fin clips,1539765,0.102389
Y200042WKR_RA,Walker,WLF,WLF,WALK_Wolf,Lahontan Cutthroat Trout,LCT,WALKER,Wolf Creek,2020,fin clips,1672851,0.11244
Y200045WKR_RA,Walker,WLF,WLF,WALK_Wolf,Lahontan Cutthroat Trout,LCT,WALKER,Wolf Creek,2020,fin clips,1612653,0.108434
Y200055WKR_RA,Walker,WLF,WLF,WALK_Wolf,Lahontan Cutthroat Trout,LCT,WALKER,Wolf Creek,2020,fin clips,1661759,0.111758
Y200059WKR_RA,Walker,WLF,WLF,WALK_Wolf,Lahontan Cutthroat Trout,LCT,WALKER,Wolf Creek,2020,fin clips,1632698,0.10956
